task,alpha,r,A,loss,bloch_mse,mse_x,mse_y,mse_z,latent_norm,eta
77,0.7913902724663606,0.2210276357557502,0.029171578586101532,0.17868776619434357,0.0011487023439258337,5.5520627938676625e-05,6.697447679471225e-05,0.003323611570522189,,"[-0.10356108 -0.22729051]"
78,0.6032813284435272,0.48080980766435877,0.06833851337432861,0.01638651452958584,0.0023472888860851526,0.00041646743193268776,0.0003978493041358888,0.006227549631148577,,"[-0.09742127 -0.22105326]"
79,0.34258252639543985,0.46410817430592977,0.02079940401017666,0.04696386307477951,0.010209539905190468,0.0010603066766634583,0.0010528124403208494,0.02851550094783306,,"[-0.10780722 -0.22323635]"
80,0.420669879631552,0.41615291529678977,0.026122992858290672,0.019637223333120346,0.005133324768394232,0.000534403370693326,0.0005221270257607102,0.014343442395329475,,"[-0.10999211 -0.22998099]"
81,0.5801178264565369,0.3678873420373793,0.04011767357587814,0.020454388111829758,0.0001102980604628101,7.502678727178136e-06,9.180175766232423e-06,0.0003142113273497671,,"[-0.09885169 -0.22665915]"
82,0.254173862032645,0.517651247794619,0.01365305483341217,0.10591742396354675,0.01917179487645626,0.0019203346455469728,0.002012761076912284,0.05358228459954262,,"[-0.11990289 -0.23548599]"
83,0.3924680389830415,0.19325925519992712,0.00554580008611083,0.1752868890762329,0.042463257908821106,0.001795190735720098,0.0018785467837005854,0.12371604889631271,,"[-0.13248813 -0.2422217 ]"
84,0.22446508493285836,0.39544647159412094,0.006813546642661095,0.14695027470588684,0.03038870543241501,0.0020494910422712564,0.00204422022216022,0.08707240968942642,,"[-0.1225755  -0.23263523]"
85,0.6065386171053695,0.10829391446392808,0.004264433868229389,0.20226562023162842,0.018211837857961655,0.0015244282549247146,0.0015249099815264344,0.051586173474788666,,"[-0.12447777 -0.23541194]"
86,0.5072558349795686,0.21324788759896898,0.011192061938345432,0.1050504520535469,0.015464788302779198,0.0007519376813434064,0.0007657412788830698,0.04487668350338936,,"[-0.12422391 -0.23712835]"
87,0.58710367424567,0.18718321450249573,0.011668290942907333,0.13432028889656067,0.016929373145103455,0.0005523039144463837,0.0005399528308771551,0.049695856869220734,,"[-0.11911678 -0.23534517]"
88,0.6145626428614797,0.2933676731502687,0.029929617419838905,0.05510112643241882,0.0009197110193781555,4.061613435624167e-05,4.071330477017909e-05,0.0026778033934533596,,"[-0.10189347 -0.22695312]"
89,0.7620379932420409,0.16876047207299663,0.016080474480986595,0.20512861013412476,0.007336327340453863,0.00028685989673249424,0.00027771477471105754,0.021444406360387802,,"[-0.10980787 -0.22893646]"
90,0.40463981063015514,0.15673676062029454,0.003925896715372801,0.16792072355747223,0.023930419236421585,0.0020863201934844255,0.002143284073099494,0.06756164878606796,,"[-0.12546027 -0.23518541]"
91,0.7548161709671377,0.5386696766904905,0.12813924252986908,0.10930681973695755,0.016652898862957954,0.0023358268663287163,0.002593285869807005,0.04502957686781883,,"[-0.09265956 -0.21497661]"
92,0.3547649766290934,0.4299920230170895,0.019639167934656143,0.039746083319187164,0.007497461978346109,0.0007756844279356301,0.0007935632602311671,0.020923137664794922,,"[-0.10842873 -0.23202874]"
93,0.6903333201207296,0.3776004057997312,0.059469614177942276,0.05904734507203102,0.0034324333537369967,0.00047420765622518957,0.00045388913713395596,0.009369202889502048,,"[-0.09073156 -0.21246228]"
94,0.5177903470136039,0.22092614545022585,0.012476879172027111,0.11558646708726883,0.02356598526239395,0.0006456486880779266,0.0006280594971030951,0.06942423433065414,,"[-0.10868103 -0.22991708]"
95,0.25586166068353955,0.5486078789766634,0.015144924633204937,0.1037798523902893,0.01631789840757847,0.0010610882891342044,0.0010075458558276296,0.046885062009096146,,"[-0.12874047 -0.23696163]"
96,0.7402508342979983,0.416550728636634,0.08102240413427353,0.08079609274864197,0.005925065837800503,0.0014616564149037004,0.0014401903608813882,0.014873350970447063,,"[-0.0867492  -0.21152838]"
97,0.4034178746292204,0.2746047873063304,0.01141178049147129,0.07821101695299149,0.012976775877177715,0.001006521051749587,0.0009567536180838943,0.036967046558856964,,"[-0.12165362 -0.23306535]"
98,0.6355734073221437,0.5485551299762885,0.093438059091568,0.0386834554374218,0.006388677749782801,0.0011798747582361102,0.0012470403453335166,0.016739118844270706,,"[-0.09278789 -0.21858698]"
99,0.7322518545590704,0.4899377729288119,0.10379287600517273,0.08319595456123352,0.01163530070334673,0.00140980479773134,0.001311407657340169,0.03218468651175499,,"[-0.09280531 -0.21979077]"
